Var5,Var7,Var11,Var12,Var13
AB3FBF,2025/08/12 12:43:18.788,1850,42.39478,-71.2893147222222
AB3FBF,2025/08/12 12:43:19.268,1850,42.3945199012525,-71.2893466923404
AB3FBF,2025/08/12 12:43:20.245,1850,42.3939905181135,-71.2894076078027
AB3FBF,2025/08/12 12:43:21.291,1850,42.3934106487453,-71.2894590143566
AB3FBF,2025/08/12 12:43:22.856,1850,42.3925372761954,-71.289513019917
AB3FBF,2025/08/12 12:44:17.782,1675.00764162964,42.3661659113162,-71.3064933873052
AB3FBF,2025/08/12 12:44:18.374,1660.30594475388,42.3658855577409,-71.3067535603127
AB3FBF,2025/08/12 12:44:19.956,1649.51504780724,42.365138286678,-71.3073408939047
AB3FBF,2025/08/12 12:44:22.102,1629.45056532584,42.364173696837,-71.3082254905371
AB3FBF,2025/08/12 12:44:22.544,1625.49497457804,42.3640173818364,-71.3085064833736
AB3FBF,2025/08/12 12:44:23.523,1610.49902345426,42.3635898054317,-71.3089838202237
AB3FBF,2025/08/12 12:44:39.590,1474.86125326853,42.3566862788634,-71.3166409251576
AB3FBF,2025/08/12 12:45:15.710,1175.01054474675,42.3415343289834,-71.3346090235327
AB3FBF,2025/08/12 12:45:16.219,1172.6742179838,42.3413355777931,-71.3348921057447
AB3FBF,2025/08/12 12:45:16.688,1170.80799275749,42.3411317007393,-71.335123659183
AB3FBF,2025/08/12 12:45:17.158,1169.26469342088,42.3409359607173,-71.3353736755297
AB3FBF,2025/08/12 12:45:17.689,1167.90936490346,42.3407093658176,-71.3356363315849
AB3FBF,2025/08/12 12:45:18.251,1159.68357030288,42.340472436378,-71.3359255100253
AB3FBF,2025/08/12 12:45:18.847,1153.14111455233,42.3402318744188,-71.3362253080709
AB3FBF,2025/08/12 12:45:19.304,1149.28123619992,42.3400428214339,-71.3364554277801
AB3FBF,2025/08/12 12:45:19.816,1146.19682312259,42.3398314443962,-71.3367163978823
AB3FBF,2025/08/12 12:45:20.264,1137.65192703977,42.3396403974474,-71.3369510528389
AB3FBF,2025/08/12 12:45:20.763,1130.66737319854,42.3394202968022,-71.3372065986627
AB3FBF,2025/08/12 12:45:21.306,1124.98735794901,42.3391968256397,-71.3374827838101
AB3FBF,2025/08/12 12:45:21.800,1121.12611874681,42.3389839363929,-71.3377283951354
AB3FBF,2025/08/12 12:45:22.223,1118.77938679247,42.3388014342744,-71.337932573952
